,type,id,attributes_count,attributes.lineage,attributes.hierarchy.order,attributes.hierarchy.species,attributes.hierarchy.family,attributes.hierarchy.kingdom,attributes.hierarchy.genus,attributes.hierarchy.phylum,attributes.hierarchy.class,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
38,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Shuttleworthia,199,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Shuttleworthia,Clostridiales,,Lachnospiraceae,Bacteria,Shuttleworthia,Firmicutes,Clostridia,Bacteria,Shuttleworthia,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AShuttleworthia,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,8887.0,12.7651934098,217.0,0.4555282658,,
39,organisms,Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus,2,Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus,Bacillales,,Staphylococcaceae,Bacteria,Staphylococcus,Firmicutes,Bacilli,Bacteria,Staphylococcus,Staphylococcaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ABacillales%253AStaphylococcaceae%253AStaphylococcus,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,360.0,0.5018680645,19.0,0.0264911743,3.0,0.0043091685,2.0,0.0041984172,,
40,organisms,Bacteria:Firmicutes:Bacilli:Gemellales:Gemellaceae,7,Bacteria:Firmicutes:Bacilli:Gemellales:Gemellaceae,Gemellales,,Gemellaceae,Bacteria,,Firmicutes,Bacilli,Bacteria,Gemellaceae,Gemellales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253AGemellales%253AGemellaceae,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,360.0,0.5018680645,12.0,0.016731268,7.0,0.0100547264,,,,
41,organisms,Bacteria:Actinobacteria:OPB41,3,Bacteria:Actinobacteria:OPB41,,,,Bacteria,,Actinobacteria,OPB41,Bacteria,OPB41,Actinobacteria,class,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AOPB41,MGYA00005312,71732.0,100.0,296.0,0.4126470752,3.0,0.0041822339,,,,,,,,
42,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Eubacterium:biforme,4,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Eubacterium:biforme,Erysipelotrichales,biforme,Erysipelotrichaceae,Bacteria,Eubacterium,Firmicutes,Erysipelotrichi,Bacteria,biforme,Eubacterium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253AEubacterium%253Abiforme,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,626.0,0.872692801,626.0,0.8728144781,626.0,0.8991798216,335.0,0.7032348805,4.0,0.0230680507
43,organisms,Bacteria:Proteobacteria:Betaproteobacteria:Burkholderiales:Burkholderiaceae,1,Bacteria:Proteobacteria:Betaproteobacteria:Burkholderiales:Burkholderiaceae,Burkholderiales,,Burkholderiaceae,Bacteria,,Proteobacteria,Betaproteobacteria,Bacteria,Burkholderiaceae,Burkholderiales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253ABurkholderiales%253ABurkholderiaceae,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,444.0,0.6189706128,426.0,0.5939600123,1.0,0.0014363895,,,,
44,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:copri,2732,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:copri,Bacteroidales,copri,Prevotellaceae,Bacteria,Prevotella,Bacteroidetes,Bacteroidia,Bacteria,copri,Prevotella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APrevotellaceae%253APrevotella%253Acopri,MGYA00005312,71732.0,100.0,21180.0,29.5265711259,21175.0,29.5196007361,21175.0,29.5237165723,2852.0,4.0965828294,2862.0,6.0079350085,2732.0,15.7554786621
45,organisms,Bacteria:Proteobacteria:Betaproteobacteria:SBla14,4,Bacteria:Proteobacteria:Betaproteobacteria:SBla14,SBla14,,,Bacteria,,Proteobacteria,Betaproteobacteria,Bacteria,SBla14,Betaproteobacteria,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253ASBla14,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,444.0,0.6189706128,4.0,0.0055770893,,,,,,
46,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia,813,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia,Clostridiales,,Lachnospiraceae,Bacteria,Blautia,Firmicutes,Clostridia,Bacteria,Blautia,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ABlautia,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,8887.0,12.7651934098,899.0,1.8871885299,,
47,organisms,Bacteria:Firmicutes:Bacilli:Bacillales:Bacillaceae:Bacillus,3,Bacteria:Firmicutes:Bacilli:Bacillales:Bacillaceae:Bacillus,Bacillales,,Bacillaceae,Bacteria,Bacillus,Firmicutes,Bacilli,Bacteria,Bacillus,Bacillaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ABacillales%253ABacillaceae%253ABacillus,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,360.0,0.5018680645,19.0,0.0264911743,12.0,0.0172366739,8.0,0.0167936688,,
48,organisms,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Weeksellaceae:Wautersiella,1,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Weeksellaceae:Wautersiella,Flavobacteriales,,Weeksellaceae,Bacteria,Wautersiella,Bacteroidetes,Flavobacteriia,Bacteria,Wautersiella,Weeksellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253AFlavobacteriia%253AFlavobacteriales%253AWeeksellaceae%253AWautersiella,MGYA00005312,71732.0,100.0,21180.0,29.5265711259,4.0,0.0055763118,4.0,0.0055770893,1.0,0.0014363895,1.0,0.0020992086,,
49,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Edwardsiella,1,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Edwardsiella,Enterobacteriales,,Enterobacteriaceae,Bacteria,Edwardsiella,Proteobacteria,Gammaproteobacteria,Bacteria,Edwardsiella,Enterobacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AEdwardsiella,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,26163.0,36.4783469507,26163.0,37.5802582628,1.0,0.0020992086,,
50,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Serratia:symbiotica,215,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Serratia:symbiotica,Enterobacteriales,symbiotica,Enterobacteriaceae,Bacteria,Serratia,Proteobacteria,Gammaproteobacteria,Bacteria,symbiotica,Serratia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253ASerratia%253Asymbiotica,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,26163.0,36.4783469507,26163.0,37.5802582628,1496.0,3.1404160631,215.0,1.2399077278
51,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ethanoligenens,3,Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ethanoligenens,Clostridiales,,Ruminococcaceae,Bacteria,Ethanoligenens,Firmicutes,Clostridia,Bacteria,Ethanoligenens,Ruminococcaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ARuminococcaceae%253AEthanoligenens,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,8362.0,12.0110889269,3.0,0.0062976258,,
52,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Aeromonadales:Aeromonadaceae,782,Bacteria:Proteobacteria:Gammaproteobacteria:Aeromonadales:Aeromonadaceae,Aeromonadales,,Aeromonadaceae,Bacteria,,Proteobacteria,Gammaproteobacteria,Bacteria,Aeromonadaceae,Aeromonadales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AAeromonadales%253AAeromonadaceae,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,810.0,1.1293605867,782.0,1.1232565823,,,,
53,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Escherichia:blattae,1,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Escherichia:blattae,Enterobacteriales,blattae,Enterobacteriaceae,Bacteria,Escherichia,Proteobacteria,Gammaproteobacteria,Bacteria,blattae,Escherichia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AEscherichia%253Ablattae,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,26163.0,36.4783469507,26163.0,37.5802582628,1.0,0.0020992086,1.0,0.0057670127
54,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Cronobacter:sakazakii,4,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Cronobacter:sakazakii,Enterobacteriales,sakazakii,Enterobacteriaceae,Bacteria,Cronobacter,Proteobacteria,Gammaproteobacteria,Bacteria,sakazakii,Cronobacter,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253ACronobacter%253Asakazakii,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,26163.0,36.4783469507,26163.0,37.5802582628,4.0,0.0083968344,4.0,0.0230680507
55,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales,1954,Bacteria:Firmicutes:Clostridia:Clostridiales,Clostridiales,,,Bacteria,,Firmicutes,Clostridia,Bacteria,Clostridiales,Clostridia,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,,,,,,
56,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Yersinia,2,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Yersinia,Enterobacteriales,,Enterobacteriaceae,Bacteria,Yersinia,Proteobacteria,Gammaproteobacteria,Bacteria,Yersinia,Enterobacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AYersinia,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,26163.0,36.4783469507,26163.0,37.5802582628,2.0,0.0041984172,,
57,organisms,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Flavobacteriaceae:Krokinobacter:genikus,1,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Flavobacteriaceae:Krokinobacter:genikus,Flavobacteriales,genikus,Flavobacteriaceae,Bacteria,Krokinobacter,Bacteroidetes,Flavobacteriia,Bacteria,genikus,Krokinobacter,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253AFlavobacteriia%253AFlavobacteriales%253AFlavobacteriaceae%253AKrokinobacter%253Agenikus,MGYA00005312,71732.0,100.0,21180.0,29.5265711259,4.0,0.0055763118,4.0,0.0055770893,1.0,0.0014363895,1.0,0.0020992086,1.0,0.0057670127
58,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Alteromonadales:HTCC2188,35,Bacteria:Proteobacteria:Gammaproteobacteria:Alteromonadales:HTCC2188,Alteromonadales,,HTCC2188,Bacteria,,Proteobacteria,Gammaproteobacteria,Bacteria,HTCC2188,Alteromonadales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AAlteromonadales%253AHTCC2188,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,68.0,0.0948105184,35.0,0.0502736322,,,,
59,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Hafnia:alvei,858,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Hafnia:alvei,Enterobacteriales,alvei,Enterobacteriaceae,Bacteria,Hafnia,Proteobacteria,Gammaproteobacteria,Bacteria,alvei,Hafnia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AHafnia%253Aalvei,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,26163.0,36.4783469507,26163.0,37.5802582628,858.0,1.8011209774,858.0,4.9480968858
60,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia:obeum,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia:obeum,Clostridiales,obeum,Lachnospiraceae,Bacteria,Blautia,Firmicutes,Clostridia,Bacteria,obeum,Blautia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ABlautia%253Aobeum,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,8887.0,12.7651934098,899.0,1.8871885299,1.0,0.0057670127
61,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Actinobacillus,4,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Actinobacillus,Pasteurellales,,Pasteurellaceae,Bacteria,Actinobacillus,Proteobacteria,Gammaproteobacteria,Bacteria,Actinobacillus,Pasteurellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253APasteurellales%253APasteurellaceae%253AActinobacillus,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,228.0,0.3178940911,226.0,0.3246240251,5.0,0.010496043,,
62,organisms,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Cryomorphaceae,2,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Cryomorphaceae,Flavobacteriales,,Cryomorphaceae,Bacteria,,Bacteroidetes,Flavobacteriia,Bacteria,Cryomorphaceae,Flavobacteriales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253AFlavobacteriia%253AFlavobacteriales%253ACryomorphaceae,MGYA00005312,71732.0,100.0,21180.0,29.5265711259,4.0,0.0055763118,4.0,0.0055770893,2.0,0.002872779,,,,
63,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Moryella,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Moryella,Clostridiales,,Lachnospiraceae,Bacteria,Moryella,Firmicutes,Clostridia,Bacteria,Moryella,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AMoryella,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,8887.0,12.7651934098,1.0,0.0020992086,,
64,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Veillonella:parvula,39,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Veillonella:parvula,Clostridiales,parvula,Veillonellaceae,Bacteria,Veillonella,Firmicutes,Clostridia,Bacteria,parvula,Veillonella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253AVeillonella%253Aparvula,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,842.0,1.2094399517,173.0,0.3631630875,39.0,0.2249134948
65,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Roseburia,1433,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Roseburia,Clostridiales,,Lachnospiraceae,Bacteria,Roseburia,Firmicutes,Clostridia,Bacteria,Roseburia,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ARoseburia,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,8887.0,12.7651934098,1857.0,3.8982303672,,
66,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Enterobacter:aerogenes,2,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Enterobacter:aerogenes,Enterobacteriales,aerogenes,Enterobacteriaceae,Bacteria,Enterobacter,Proteobacteria,Gammaproteobacteria,Bacteria,aerogenes,Enterobacter,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AEnterobacter%253Aaerogenes,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,26163.0,36.4783469507,26163.0,37.5802582628,113.0,0.2372105716,2.0,0.0115340254
67,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Alteromonadales:Chromatiaceae,1,Bacteria:Proteobacteria:Gammaproteobacteria:Alteromonadales:Chromatiaceae,Alteromonadales,,Chromatiaceae,Bacteria,,Proteobacteria,Gammaproteobacteria,Bacteria,Chromatiaceae,Alteromonadales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AAlteromonadales%253AChromatiaceae,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,68.0,0.0948105184,3.0,0.0043091685,,,,
68,organisms,Bacteria:Verrucomicrobia:Opitutae:Opitutales:Opitutaceae:Opitutus,1,Bacteria:Verrucomicrobia:Opitutae:Opitutales:Opitutaceae:Opitutus,Opitutales,,Opitutaceae,Bacteria,Opitutus,Verrucomicrobia,Opitutae,Bacteria,Opitutus,Opitutaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AVerrucomicrobia%253AOpitutae%253AOpitutales%253AOpitutaceae%253AOpitutus,MGYA00005312,71732.0,100.0,1.0,0.001394078,1.0,0.001394078,1.0,0.0013942723,1.0,0.0014363895,1.0,0.0020992086,,
69,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces,36,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces,Actinomycetales,,Actinomycetaceae,Bacteria,Actinomyces,Actinobacteria,Actinobacteria,Bacteria,Actinomyces,Actinomycetaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253AActinomycetaceae%253AActinomyces,MGYA00005312,71732.0,100.0,296.0,0.4126470752,212.0,0.2955445268,45.0,0.0627422548,36.0,0.0517100217,36.0,0.0755715095,,
70,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Acinetobacter,52,Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Acinetobacter,Pseudomonadales,,Moraxellaceae,Bacteria,Acinetobacter,Proteobacteria,Gammaproteobacteria,Bacteria,Acinetobacter,Moraxellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253APseudomonadales%253AMoraxellaceae%253AAcinetobacter,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,419.0,0.584200106,57.0,0.081874201,52.0,0.1091588471,,
71,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Caloramator,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Caloramator,Clostridiales,,Clostridiaceae,Bacteria,Caloramator,Firmicutes,Clostridia,Bacteria,Caloramator,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ACaloramator,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,550.0,0.7900142203,1.0,0.0020992086,,
72,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Vibrionales:Pseudoalteromonadaceae:Pseudoalteromonas:porphyrae,13,Bacteria:Proteobacteria:Gammaproteobacteria:Vibrionales:Pseudoalteromonadaceae:Pseudoalteromonas:porphyrae,Vibrionales,porphyrae,Pseudoalteromonadaceae,Bacteria,Pseudoalteromonas,Proteobacteria,Gammaproteobacteria,Bacteria,porphyrae,Pseudoalteromonas,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AVibrionales%253APseudoalteromonadaceae%253APseudoalteromonas%253Aporphyrae,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,67.0,0.0934162461,15.0,0.0215458424,13.0,0.0272897118,13.0,0.0749711649
73,organisms,Bacteria:Proteobacteria:Betaproteobacteria:Burkholderiales,2,Bacteria:Proteobacteria:Betaproteobacteria:Burkholderiales,Burkholderiales,,,Bacteria,,Proteobacteria,Betaproteobacteria,Bacteria,Burkholderiales,Betaproteobacteria,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253ABurkholderiales,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,444.0,0.6189706128,426.0,0.5939600123,,,,,,
74,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Salmonella:enterica,1,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Salmonella:enterica,Enterobacteriales,enterica,Enterobacteriaceae,Bacteria,Salmonella,Proteobacteria,Gammaproteobacteria,Bacteria,enterica,Salmonella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253ASalmonella%253Aenterica,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,26163.0,36.4783469507,26163.0,37.5802582628,3.0,0.0062976258,1.0,0.0057670127
75,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Haemophilus:parainfluenzae,12,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Haemophilus:parainfluenzae,Pasteurellales,parainfluenzae,Pasteurellaceae,Bacteria,Haemophilus,Proteobacteria,Gammaproteobacteria,Bacteria,parainfluenzae,Haemophilus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253APasteurellales%253APasteurellaceae%253AHaemophilus%253Aparainfluenzae,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,228.0,0.3178940911,226.0,0.3246240251,208.0,0.4366353885,12.0,0.0692041522
76,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:HTCC2188,31,Bacteria:Proteobacteria:Gammaproteobacteria:HTCC2188,HTCC2188,,,Bacteria,,Proteobacteria,Gammaproteobacteria,Bacteria,HTCC2188,Gammaproteobacteria,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AHTCC2188,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,31.0,0.0432224422,,,,,,
77,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:cc_115,97,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:cc_115,Erysipelotrichales,,Erysipelotrichaceae,Bacteria,cc_115,Firmicutes,Erysipelotrichi,Bacteria,cc_115,Erysipelotrichaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253Acc_115,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,626.0,0.872692801,626.0,0.8728144781,626.0,0.8991798216,97.0,0.203623234,,
